title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size,show_id
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80,111
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80,112
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,113
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80,114
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,115
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80,116
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80,117
Home,PG,mild action and some rude humor,60,2015,94.0,80,118
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80,119
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80,120
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80,121
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80,122
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80,123
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,124
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80,125
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80,126
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,127
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80,128
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80,129
London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80,130
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80,131
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80,132
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80,133
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80,134
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80,135
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80,136
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80,137
Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80,138
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80,139
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80,140
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80,141
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,142
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,143
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80,144
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80,145
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80,146
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80,147
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80,148
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80,149
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80,150
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80,151
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80,152
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80,153
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,154
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80,155
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80,156
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80,157
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,158
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,159
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80,160
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,161
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,162
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80,163
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80,164
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80,165
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80,166
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80,167
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80,168
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,169
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,170
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,171
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80,172
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,173
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80,174
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80,175
Pok̩mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80,176
Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80,177
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80,178
Pok̩mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80,179
The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,180
Flubber,PG,slapstick action and mild language,60,1997,83.0,80,181
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,182
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,183
Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,184
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80,185
The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80,186
Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,187
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,188
Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,189
Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80,190
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80,191
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80,192
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,193
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,194
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,195
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80,196
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80,197
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80,198
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,199
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80,200
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,201
Antz,PG,moderate adult language and intense action,60,1998,80.0,80,202
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80,203
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80,204
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80,205
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80,206
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80,207
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,208
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80,209
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80,210
Paddington,PG,mild action and rude humor,60,2014,70.0,80,211
Minions,PG,action and rude humor,60,2015,96.0,80,212
The Little Prince,PG,mild thematic elements,60,2015,71.0,80,213
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,214
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80,215
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80,216
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80,217
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,218
Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80,219
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80,220
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80,221
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80,222
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80,223
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80,224
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80,225
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,226
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80,227
Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80,228
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80,229
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80,230
Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80,231
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80,232
Heavyweights,PG,some rude language and pranks,60,1995,74.0,80,233
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80,234
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80,235
